2,,1,28.1
2,,2,27.7
2,,3,27.8
2,,4,27.2
2,,5,27.2
2,,6,27.2
2,,7,26.9
2,,8,27.2
2,,9,28.4
2,,10,27.7
3,,11,27.4
3,,12,28.4
3,,13,29
3,,14,29
3,,15,28.6
3,,16,29.1
3,,17,28.8
3,,18,29
3,,19,28.3
3,,20,28.3
4,,21,28.3
4,,22,27.8
4,,23,27.2
4,,24,26.7
4,,25,27.2
4,,26,27.2
4,,27,26.9
4,,28,27.4
4,,29,27.5
4,,30,27.9
5,,31,28.2
5,,32,28.5
5,,33,28.4
5,,34,28.9
5,,35,28.7
5,,36,27.7
5,,37,29.3
5,,38,28.3
5,,39,28.2
5,,40,27.7
6,,41,27.9
6,,42,27.4
6,,43,27.5
6,,44,26.3
6,,45,26.3
6,,46,26.9
6,,47,26.9
6,,48,26.8
6,,49,27.7
6,,50,27.9
7,,51,28.6
7,,52,28.2
7,,53,29
7,,54,29.7
7,,55,29.3
7,,56,28.9
7,,57,29
7,,58,28.3
7,,59,28.8
7,,60,28
8,,61,27.7
8,,62,27.6
8,,63,27.4
8,,64,27.4
8,,65,26.4
8,,66,26.9
8,,67,27.2
8,,68,27.7
8,,69,27.6
8,,70,28.9
9,,71,28.8
9,,72,29.3
9,,73,29
9,,74,29.3
9,,75,28.6
9,,76,29.2
9,,77,28.1
9,,78,28.4
9,,79,28
9,,80,28
10,,81,26.9
10,,82,27.2
10,,83,27.4
10,,84,26.7
10,,85,26.9
10,,86,27.1
10,,87,27.7
10,,88,28.3
10,,89,28.3
10,,90,28.8
11,,91,28.8
11,,92,29
11,,93,29.1
11,,94,28.9
11,,95,28.6
11,,96,28.8
11,,97,28.4
11,,98,28.6
11,,99,27.5
11,,100,27.7
12,,101,26.3
12,,102,26.7
12,,103,27.4
12,,104,26.7
12,,105,27.7
12,,106,28.2
12,,107,27.9
12,,108,28.6
12,,109,28.8
12,,110,28.1
13,,111,28.9
13,,112,29
13,,113,29
13,,114,29
13,,115,29
13,,116,27.4
13,,117,27.2
13,,118,27.2
13,,119,27.1
13,,120,27.2
14,,121,27.2
14,,122,27.2
14,,123,27.1
14,,124,27.7
14,,125,27.8
14,,126,27.4
14,,127,28.6
14,,128,28.6
14,,129,29
14,,130,29
15,,131,28.5
15,,132,28.9
15,,133,29
15,,134,28.9
15,,135,28.3
15,,136,27.6
15,,137,28.2
15,,138,27.6
15,,139,26.6
15,,140,27.4
16,,141,27.2
16,,142,26.6
16,,143,27.2
16,,144,26.6
16,,145,27.6
16,,146,27.8
16,,147,28.4
16,,148,28.5
16,,149,28.8
16,,150,28.8
17,,151,29
17,,152,29
17,,153,29
17,,154,27.9
17,,155,28.3
17,,156,28
17,,157,27.4
17,,158,27.2
17,,159,27.5
17,,160,26.8
18,,161,26.8
18,,162,27.2
18,,163,27.3
18,,164,27.9
18,,165,27.4
18,,166,28.3
18,,167,28.6
18,,168,29
18,,169,28.5
18,,170,27.2
